,,,Demographics,,,,,,,,,,,,,,,Diabetes,,,HIV prevalence rate,,Premature age-adjusted mortality,,,,Infant mortality,,,Child mortality,,,,Food insecurity,Limited access to healthy foods,,Motor vehicle crash death rate,,,,Drug poisoning deaths,,Uninsured adults,,,,Uninsured children,,,,Health care costs,,,Could not see doctor due to cost,,,,Other primary care providers^,,Previous Other primary care providers data^,,Median household income,,,Children eligible for free lunch,Homicide rate,,,
FIPS,State,County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-Hispanic white,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,Female,Rural,% Diabetic,95% CI - Low,95% CI - High,HIV Cases,HIV Rate,Total deaths,Age-adjusted Mortality,95% CI - Low,95% CI - High,Infant mortality rate,95% CI - Low,95% CI - High,Total deaths,Child mortality rate,95% CI - Low,95% CI - High,% Food Insecure,# Limited Access,% Limited Access,Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,Drug Poisoning Deaths,Drug Poisoning Mortality Rate,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,95% CI - Low,95% CI - High,Sample Size,% Couldn't Access,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Homicide Rate,95% CI - Low,95% CI - High,
01001,Alabama,Autauga,55514,26.0,13.0,18.0,0.5,0.9,0.1,2.5,76.8,224,0.4,0.1,0.8,51.1,42.0,12,9,15,81,181,729,439.5,407.5,471.6,9.0,6.3,11.7,35,59.2,41.2,82.4,14,5344,10,87,24,19,30,27,7,6065,18,16,20,712,5,3,6,10219,10216,10222,410,16,11,21,,,18,5551:1,51441,46370,56512,36,4,2,6,
01003,Alabama,Baldwin,190790,22.6,17.7,9.4,0.7,0.8,0.1,4.5,83.4,3167,1.8,1.4,2.3,51.1,42.3,12,10,14,288,188,2325,365.0,349.7,380.2,6.4,5.1,7.7,97,58.7,47.6,71.6,13,9952,5,239,20,17,23,176,15,23050,21,19,23,2455,6,4,7,9624,9623,9626,1658,14,12,17,,,27,3741:1,48867,45991,51743,37,4,3,6,
01005,Alabama,Barbour,27201,21.2,15.2,46.7,0.6,0.5,0.2,4.9,46.8,562,2.2,1.1,3.2,46.3,67.8,14,12,17,90,388,422,459.3,414.8,503.7,12.8,8.4,17.2,26,105.3,68.8,154.2,23,3136,11,51,26,19,34,,,3468,24,21,27,373,6,4,8,10809,10805,10813,425,17,12,23,,,11,9067:1,30287,27162,33412,66,5,3,9,
01007,Alabama,Bibb,22597,21.6,13.9,22.1,0.3,0.1,0.1,2.0,74.7,107,0.5,0.0,1.1,46.0,68.4,11,9,14,21,107,390,541.8,487.6,596.0,11.2,6.4,16.1,22,103.9,65.1,157.3,16,491,2,53,34,25,44,26,17,2560,20,18,23,294,6,4,7,10809,10804,10814,379,16,10,26,,,4,22597:1,37392,33209,41575,54,8,4,13,
01009,Alabama,Blount,57826,24.0,15.9,1.4,0.6,0.2,0.1,8.4,88.5,1498,2.8,2.2,3.3,50.6,90.0,14,11,17,44,93,826,426.2,396.7,455.7,6.6,4.3,8.9,36,63.9,44.7,88.4,12,609,1,111,28,23,34,51,13,7902,23,20,25,1010,7,5,9,10510,10506,10513,369,17,12,25,,,5,19275:1,44225,40055,48395,44,4,2,7,
01011,Alabama,Bullock,10474,21.2,14.6,68.8,0.9,0.2,0.8,7.8,22.4,321,3.2,0.0,7.0,45.8,51.4,18,14,22,38,409,192,514.8,441.3,588.3,,,,,,,,27,2199,20,45,59,43,78,,,1111,21,18,24,95,4,2,6,8941,8935,8946,104,17,10,27,,,67,1496:1,25854,22979,28729,90,,,,
01013,Alabama,Butler,20307,23.1,17.4,43.2,0.3,0.9,0.0,1.1,53.8,34,0.2,0.0,0.7,53.1,71.2,16,13,19,38,220,389,553.0,496.5,609.5,10.8,6.2,15.5,13,64.0,34.1,109.4,23,593,3,42,29,21,39,11,8,2589,21,18,24,233,5,3,6,11331,11327,11335,369,19,14,25,,,34,2901:1,30605,27307,33903,68,10,5,16,
01015,Alabama,Calhoun,117296,22.7,15.2,20.5,0.5,0.8,0.1,3.4,73.5,1174,1.1,0.7,1.4,51.9,33.7,14,12,16,184,185,2042,532.3,508.8,555.8,8.0,6.3,9.7,88,81.3,65.2,100.2,18,11909,10,185,23,19,26,91,11,15346,21,19,24,1465,5,4,7,11246,11244,11248,1460,18,16,22,,,32,3170:1,39212,35937,42487,51,11,9,14,
01017,Alabama,Chambers,34064,22.0,17.6,38.5,0.2,0.6,0.1,1.7,58.2,147,0.5,0.0,1.0,52.3,49.1,15,12,18,92,318,643,531.1,489.0,573.2,6.7,3.8,9.7,20,62.8,38.4,97.0,21,3018,9,66,27,21,34,23,9,4709,23,20,26,374,5,3,6,9436,9434,9439,387,23,16,31,,,6,17032:1,32320,29596,35044,65,8,5,13,
01019,Alabama,Cherokee,26021,20.8,19.3,4.7,0.5,0.2,0.0,1.4,92.0,38,0.2,0.0,0.6,50.4,85.7,14,10,18,26,120,470,466.5,422.3,510.8,,,,16,72.7,41.5,118.0,15,34,0,46,26,19,34,23,13,3368,21,19,24,295,5,4,7,10671,10667,10674,208,17,11,25,,,19,5204:1,37868,34320,41416,51,,,,
01021,Alabama,Chilton,43819,24.6,14.5,9.8,0.5,0.3,0.2,7.6,81.1,873,2.1,1.4,2.9,50.8,86.7,13,10,16,35,99,741,521.7,483.8,559.7,9.9,6.8,13.0,43,98.5,71.3,132.7,15,737,2,108,36,29,43,55,18,6797,25,23,28,841,7,5,10,10849,10845,10852,347,15,11,20,,,2,43819:1,39621,35713,43529,52,5,3,8,
01023,Alabama,Choctaw,13633,21.8,19.6,43.1,0.2,0.2,0.0,0.6,55.5,4,0.0,,,52.3,100.0,17,14,21,30,258,253,515.6,448.9,582.3,,,,,,,,20,1612,12,45,45,33,60,,,1755,22,19,24,197,6,4,8,9953,9949,9957,518,25,19,32,,,37,2727:1,33390,29922,36858,68,,,,
01025,Alabama,Clarke,25161,23.6,17.2,44.1,0.4,0.3,0.0,1.1,53.4,13,0.1,0.0,0.5,52.8,76.0,16,13,19,25,118,403,452.2,407.1,497.3,9.5,5.5,13.5,13,48.8,26.0,83.5,24,2902,11,58,31,24,41,,,3586,24,21,26,384,6,4,8,9764,9761,9767,399,13,9,17,,,28,3594:1,34606,30846,38366,60,8,5,13,
01027,Alabama,Clay,13435,22.2,18.5,14.7,0.5,0.2,0.0,2.9,80.1,145,1.1,0.1,2.1,51.1,100.0,15,11,19,17,144,254,500.7,437.5,563.9,,,,10,77.8,37.3,143.1,18,269,2,20,20,12,31,,,1934,24,21,27,232,7,5,10,9661,9656,9665,195,22,15,31,,,30,3359:1,34579,31479,37679,52,,,,
01029,Alabama,Cleburne,14832,22.9,17.5,3.5,0.4,0.2,0.1,2.2,92.8,97,0.7,0.0,1.5,50.4,100.0,13,10,17,15,123,279,531.6,467.6,595.5,,,,,,,,13,80,1,25,24,16,36,10,10,1881,21,18,24,206,6,4,7,10573,10569,10578,151,23,15,33,,,27,3708:1,38235,34087,42383,49,12,6,20,
01031,Alabama,Coffee,51252,23.9,14.9,16.9,1.5,1.3,0.4,6.3,72.1,1013,2.2,1.4,3.0,50.6,47.2,13,10,16,58,140,636,398.2,366.8,429.6,9.3,6.4,12.2,45,95.2,69.5,127.4,15,3709,7,79,24,19,30,20,6,6690,22,20,24,786,6,5,8,9927,9924,9929,542,15,11,20,,,39,2563:1,45631,41896,49366,36,3,2,6,
01033,Alabama,Colbert,54446,21.8,17.8,16.0,0.5,0.5,0.0,2.2,79.5,324,0.6,0.2,1.1,51.9,43.9,14,11,16,51,111,941,493.2,460.8,525.7,8.5,5.8,11.3,42,86.5,62.3,116.9,16,2770,5,79,21,16,26,17,4,6198,19,17,21,581,5,3,6,10670,10667,10672,746,18,14,22,,,73,1361:1,39771,36292,43250,44,6,4,9,
01035,Alabama,Conecuh,12981,22.4,19.2,46.2,0.4,0.1,0.0,1.5,50.8,28,0.2,,,51.5,80.9,18,14,22,31,281,271,572.9,501.0,644.7,,,,10,79.5,38.1,146.2,24,1956,15,45,48,35,64,10,11,1868,24,21,27,179,6,4,8,10934,10929,10938,204,22,13,34,,,15,6491:1,27110,24183,30037,81,11,5,20,
01037,Alabama,Coosa,10966,19.3,17.9,30.7,0.6,0.2,0.2,2.1,65.8,43,0.4,0.0,1.3,50.4,100.0,16,12,20,13,133,221,525.8,453.2,598.5,,,,,,,,18,753,7,27,34,22,49,,,1355,20,17,22,131,6,4,7,10013,10008,10018,151,25,17,35,,,18,5483:1,32960,29132,36788,65,,,,
01039,Alabama,Covington,37955,22.5,19.1,12.5,0.6,0.5,0.0,1.4,83.8,203,0.6,0.1,1.0,51.6,69.7,14,11,17,41,130,638,473.9,435.9,512.0,8.5,5.3,11.7,30,87.7,59.2,125.2,16,1151,3,80,31,24,38,13,5,5028,22,20,25,468,5,4,7,10912,10910,10915,429,20,15,27,,,47,2109:1,34017,30836,37198,47,4,2,8,
01041,Alabama,Crenshaw,14083,23.7,16.7,24.1,0.5,1.9,0.1,1.6,70.5,156,1.2,0.3,2.1,51.6,100.0,15,12,19,20,176,238,499.0,434.0,564.0,,,,10,74.2,35.6,136.5,17,2202,16,34,35,24,49,,,1987,24,21,26,278,8,6,10,9768,9763,9773,170,15,9,24,,,71,1408:1,33648,30063,37233,50,,,,
01043,Alabama,Cullman,80440,22.7,16.9,1.1,0.5,0.5,0.0,4.3,92.6,1088,1.4,0.9,1.9,50.6,73.2,13,10,16,40,59,1309,467.0,441.2,492.7,7.2,5.2,9.2,42,55.9,40.3,75.5,13,2536,3,181,33,28,37,40,7,10947,23,20,25,1139,6,4,8,10674,10672,10676,447,17,13,23,,,51,1962:1,37938,35348,40528,45,3,2,5,
