,,,Demographics,,,,,,,,,,,,,,,,,,,,,,,,,Diabetes,,,,HIV prevalence,,Premature age-adjusted mortality,,,,Infant mortality,,,,Child mortality,,,,Food insecurity,,Limited access to healthy foods,,Motor vehicle crash deaths,,,,Drug poisoning deaths,,Uninsured adults,,,,Uninsured children,,,,Health care costs,Could not see doctor due to cost,,,,Other primary care providers^,,Previous Other primary care providers data^,,Median household income,,,Children eligible for free lunch,Homicides,,,
FIPS,State,County,Population,# < 18,% < 18,# 65 and over,% 65 and over,# African American,% African American,# American Indian/ Alaskan Native,% American Indian/ Alaskan Native,# Asian,% Asian,# Native Hawaiian/ Other Pacific Islander,% Native Hawaiian/ Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic white,% Non-Hispanic white,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,# Female,% Female,# Rural,% Rural,# Diabetic,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,# Drug Poisoning Deaths,Drug Poisoning Mortality Rate,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Sample Size,% Couldn't Access,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Homicide Rate,95% CI - Low,95% CI - High,
01001,Alabama,Autauga,55246,14029,25.4,7466,13.5,10095,18.3,277,0.5,628,1.1,52,0.1,1491,2.7,41934,75.9,245,0.5,0.1,0.8,28450,51.5,22921,42.0,4748,12,10,15,81,181,754,431.9,400.9,463.0,38,8.0,5.6,10.9,24,41.2,26.4,61.2,7360,14,5344,10,80,21,17,26,31,8,5656,17,15,19,559,4,3,5,9939,410,16,11,21,16,6138:1,18,5525:1,51868,47633,56103,38,5,3,7,
01003,Alabama,Baldwin,195540,43844,22.4,35461,18.1,18341,9.4,1442,0.7,1729,0.9,129,0.1,8949,4.6,162536,83.1,2743,1.6,1.2,2.0,100053,51.2,77060,42.3,16021,12,10,13,288,188,2460,360.8,346.1,375.6,96,6.4,5.1,7.7,95,56.2,45.4,68.7,24660,14,9952,5,208,17,14,19,192,15,22278,20,18,22,2388,5,4,7,9502,1658,14,12,17,29,3431:1,29,3431:1,47539,43428,51650,34,4,3,6,
01005,Alabama,Barbour,27076,5716,21.1,4294,15.9,12765,47.1,159,0.6,142,0.5,50,0.2,1309,4.8,12545,46.3,574,2.2,1.1,3.4,12594,46.5,18613,67.8,3085,15,12,18,90,388,414,443.7,400.1,487.4,34,13.5,9.2,18.7,20,84.1,51.4,129.9,6240,23,3136,11,36,19,13,26,,,3227,23,20,25,273,5,3,6,10414,425,17,12,23,11,9025:1,11,9025:1,30981,27589,34373,70,,,,
01007,Alabama,Bibb,22512,4793,21.3,3216,14.3,4956,22.0,89,0.4,35,0.2,30,0.1,466,2.1,16786,74.6,92,0.4,0.0,1.1,10354,46.0,15663,68.4,2181,13,10,16,21,107,407,539.7,486.5,592.8,25,13.9,8.8,20.3,22,108.0,67.7,163.5,3510,15,491,2,41,26,19,35,30,19,2439,19,17,22,211,4,3,6,10825,379,16,10,26,9,11256:1,9,11256:1,39781,35792,43770,55,8,4,13,
01009,Alabama,Blount,57872,13798,23.8,9496,16.4,948,1.6,350,0.6,161,0.3,65,0.1,5041,8.7,50831,87.8,1254,2.3,1.8,2.9,29256,50.6,51562,90.0,5578,13,10,17,44,93,861,430.5,401.0,459.9,31,6.3,4.3,9.0,28,49.8,33.1,72.0,6770,12,609,1,102,26,21,31,73,18,8087,23,21,26,850,6,4,8,10281,369,17,12,25,7,14468:1,7,14468:1,44392,40181,48603,44,4,3,7,
01011,Alabama,Bullock,10639,2237,21.0,1555,14.6,7328,68.9,84,0.8,29,0.3,82,0.8,829,7.8,2363,22.2,372,3.7,0.1,7.2,4806,45.2,5607,51.4,1426,18,14,23,38,409,180,498.5,424.4,572.5,,,,,12,127.1,65.7,222.0,2600,24,2199,20,41,54,39,74,,,1216,23,20,26,95,4,3,6,9976,104,17,10,27,56,1773:1,66,1520:1,25937,22983,28891,86,,,,
01013,Alabama,Butler,20265,4729,23.3,3597,17.7,8771,43.3,72,0.4,194,1.0,10,0.0,247,1.2,10849,53.5,46,0.2,0.0,0.7,10828,53.4,14921,71.2,2462,16,13,20,38,220,375,528.1,473.1,583.2,,,,,10,50.7,24.3,93.3,4570,22,593,3,31,21,15,30,13,9,2608,22,19,24,178,4,2,5,11378,369,19,14,25,35,2895:1,39,2533:1,31041,27730,34352,69,8,4,14,
01015,Alabama,Calhoun,116736,25931,22.2,18149,15.5,24112,20.7,589,0.5,973,0.8,108,0.1,4066,3.5,85383,73.1,924,0.8,0.6,1.1,60336,51.7,39955,33.7,11563,13,11,15,184,185,2081,527.2,504.1,550.4,87,8.3,6.6,10.2,84,77.9,62.2,96.5,20290,17,11909,10,144,18,15,20,99,12,13968,20,18,22,1015,4,2,5,11405,1460,18,16,22,34,2918:1,37,2715:1,37898,34606,41190,53,12,10,15,
01017,Alabama,Chambers,34162,7323,21.4,6094,17.8,13246,38.8,75,0.2,232,0.7,22,0.1,671,2.0,19603,57.4,101,0.3,0.0,0.7,17778,52.0,16816,49.1,4023,16,13,19,92,318,686,567.2,523.3,611.2,25,8.7,5.6,12.8,18,58.8,34.9,93.0,7010,21,3018,9,68,28,22,36,24,10,4209,20,18,23,300,4,3,5,8948,387,23,16,31,9,11387:1,9,11387:1,33883,30944,36822,66,10,6,15,
01019,Alabama,Cherokee,26203,5425,20.7,5264,20.1,1176,4.5,139,0.5,64,0.2,7,0.0,402,1.5,24061,91.8,33,0.1,0.0,0.5,13197,50.4,22282,85.7,2745,14,10,18,26,120,512,499.1,453.1,545.1,,,,,14,63.6,34.8,106.8,3850,15,34,0,44,24,18,33,30,17,3250,21,19,23,251,4,3,6,10851,208,17,11,25,11,8734:1,23,4367:1,37478,33382,41574,53,,,,
01021,Alabama,Chilton,43951,10620,24.2,6553,14.9,4365,9.9,216,0.5,188,0.4,81,0.2,3386,7.7,35447,80.7,867,2.1,1.5,2.8,22340,50.8,37858,86.7,4211,13,11,16,35,99,767,530.5,492.3,568.6,40,9.9,7.0,13.4,35,80.3,56.0,111.7,6200,14,737,2,92,30,25,37,57,19,6514,25,22,27,668,6,4,8,10168,347,15,11,20,,,2,43951:1,41348,37956,44740,53,6,4,10,
01023,Alabama,Choctaw,13426,2825,21.0,2730,20.3,5711,42.5,26,0.2,38,0.3,0,0.0,91,0.7,7489,55.8,3,0.0,,,7047,52.5,13859,100.0,1792,17,14,21,30,258,253,531.1,461.3,600.9,,,,,15,121.8,68.2,200.9,2570,19,1612,12,45,46,34,62,,,1628,20,18,23,148,5,3,6,11908,518,25,19,32,37,2685:1,37,2685:1,33581,29649,37513,71,,,,
01025,Alabama,Clarke,25207,5808,23.0,4414,17.5,11052,43.8,101,0.4,134,0.5,4,0.0,334,1.3,13407,53.2,35,0.1,0.0,0.6,13283,52.7,19628,76.0,2831,15,12,19,25,118,425,480.7,433.6,527.7,21,9.7,5.9,14.7,18,71.7,42.5,113.3,5750,22,2902,11,53,29,22,38,,,3270,22,20,25,282,5,3,6,9422,399,13,9,17,28,3601:1,28,3601:1,34593,30630,38556,61,8,4,13,
01027,Alabama,Clay,13486,2918,21.6,2569,19.0,1918,14.2,77,0.6,31,0.2,0,0.0,440,3.3,10789,80.0,149,1.1,0.2,2.1,6846,50.8,13932,100.0,1524,15,12,19,17,144,259,490.8,429.1,552.5,,,,,,,,,2330,17,269,2,20,21,13,32,,,1884,24,21,26,178,6,4,8,9934,195,22,15,31,30,3372:1,30,3372:1,33344,29577,37111,56,,,,
01029,Alabama,Cleburne,14994,3394,22.6,2701,18.0,534,3.6,58,0.4,27,0.2,10,0.1,336,2.2,13887,92.6,90,0.6,0.0,1.4,7554,50.4,14972,100.0,1426,13,10,17,15,123,282,523.9,460.8,587.0,,,,,10,71.6,34.3,131.6,2060,14,80,1,20,19,12,30,11,11,1792,20,18,23,163,5,3,6,11159,151,23,15,33,20,4998:1,27,3749:1,40407,35857,44957,50,,,,
01031,Alabama,Coffee,50938,12062,23.7,7946,15.6,8688,17.1,694,1.4,786,1.5,204,0.4,3364,6.6,36401,71.5,1064,2.3,1.5,3.0,25627,50.3,23573,47.2,4831,13,11,16,58,140,670,398.4,367.8,429.0,45,9.8,7.1,13.0,34,70.1,48.6,98.0,7480,15,3709,7,73,21,17,27,21,6,6350,20,18,23,632,5,4,6,9330,542,15,11,20,39,2547:1,39,2547:1,44666,39770,49562,39,4,2,6,
01033,Alabama,Colbert,54520,11849,21.7,9889,18.1,8801,16.1,326,0.6,287,0.5,23,0.0,1350,2.5,42970,78.8,353,0.7,0.2,1.1,28293,51.9,23891,43.9,6161,15,13,18,51,111,949,493.3,460.8,525.8,40,9.1,6.4,12.3,38,79.5,56.2,109.1,8490,16,2770,5,76,20,16,25,19,5,5934,18,16,20,478,4,3,5,10689,746,18,14,22,79,1268:1,84,1185:1,40032,36869,43195,47,5,3,8,
01035,Alabama,Conecuh,12887,2826,21.9,2542,19.7,5859,45.5,50,0.4,22,0.2,3,0.0,217,1.7,6600,51.2,67,0.5,0.0,1.3,6664,51.7,10708,80.9,1826,19,15,23,31,281,290,593.6,521.1,666.0,,,,,14,116.9,63.9,196.2,3000,23,1956,15,34,37,25,51,,,1773,23,21,26,143,5,3,6,11037,204,22,13,34,23,4296:1,23,4296:1,27196,24198,30194,81,,,,
01037,Alabama,Coosa,10898,2056,18.9,1979,18.2,3373,31.0,73,0.7,21,0.2,18,0.2,232,2.1,7116,65.3,61,0.6,0.0,1.4,5472,50.2,11539,100.0,1393,16,13,21,13,133,239,574.0,496.7,651.3,,,,,,,,,1910,17,753,7,20,25,16,39,,,1387,20,18,23,117,5,3,7,9815,151,25,17,35,18,5449:1,18,5449:1,35175,31067,39283,68,,,,
01039,Alabama,Covington,37886,8358,22.1,7413,19.6,4777,12.6,230,0.6,183,0.5,1,0.0,611,1.6,31579,83.4,220,0.6,0.2,1.1,19546,51.6,26304,69.7,3947,14,11,17,41,130,647,469.3,431.5,507.0,28,8.8,5.8,12.6,25,73.3,47.5,108.3,6050,16,1151,3,63,24,18,31,13,5,4918,22,20,25,385,4,3,6,10626,429,20,15,27,48,2105:1,50,1994:1,35187,31788,38586,48,,,,
01041,Alabama,Crenshaw,13986,3221,23.0,2449,17.5,3352,24.0,70,0.5,239,1.7,14,0.1,255,1.8,9852,70.4,153,1.2,0.3,2.1,7203,51.5,13906,100.0,1638,16,12,20,20,176,214,442.0,381.0,503.0,,,,,,,,,2330,17,2202,16,31,32,22,45,,,1767,21,18,23,174,5,3,7,10459,170,15,9,24,64,1554:1,72,1399:1,34105,30187,38023,52,,,,
01043,Alabama,Cullman,80811,18206,22.5,13936,17.2,1031,1.3,479,0.6,426,0.5,36,0.0,3532,4.4,74536,92.2,947,1.3,0.9,1.6,40714,50.4,58889,73.2,8025,13,11,17,40,59,1293,452.2,426.8,477.5,45,6.4,4.6,8.5,37,49.9,35.1,68.7,11020,14,2536,3,146,26,22,30,55,10,11089,23,21,25,964,5,4,7,10210,447,17,13,23,51,1971:1,53,1879:1,40142,37118,43166,42,3,2,5,
01045,Alabama,Dale,49884,11832,23.7,7433,14.9,9564,19.2,386,0.8,654,1.3,58,0.1,2831,5.7,35296,70.8,617,1.3,0.6,2.1,25187,50.5,25572,50.9,5317,15,12,18,131,317,724,440.6,408.0,473.2,34,6.4,4.4,8.9,32,64.9,44.4,91.6,8380,17,5168,10,70,20,16,25,28,8,5810,19,17,21,472,4,2,5,10430,505,13,9,17,64,1559:1,66,1512:1,41805,38614,44996,55,7,5,11,
01047,Alabama,Dallas,41996,10739,25.6,6420,15.3,29084,69.3,87,0.2,194,0.5,18,0.0,388,0.9,11962,28.5,85,0.2,0.0,0.6,22481,53.5,19999,45.6,5017,16,14,19,129,363,856,598.5,557.2,639.7,34,7.1,4.9,9.9,33,71.9,49.5,101.0,12610,29,5067,12,84,27,22,34,16,5,4902,19,17,22,400,3,2,5,9831,1110,24,18,31,14,6999:1,14,6999:1,27524,24798,30250,79,21,16,27,
01049,Alabama,DeKalb,71013,17607,24.8,10766,15.2,1197,1.7,1523,2.1,284,0.4,553,0.8,10073,14.2,57296,80.7,2624,4.0,3.1,4.8,35978,50.7,64091,90.1,6981,14,11,17,44,76,1091,468.7,440.5,497.0,51,7.4,5.4,9.6,43,58.8,42.6,79.2,10030,14,1603,2,101,21,17,25,78,16,12009,28,26,31,1203,6,5,8,10505,451,20,15,26,35,2841:1,38,2630:1,36713,33042,40384,60,3,2,5,
