,,,Premature age-adjusted mortality,,,,Child mortality,,,,Infant mortality,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Health care costs,Other primary care providers,,Disconnected youth,Median household income,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
01001,Alabama,Autauga,851,468,437,500,31,55,38,79,32,7,5,10,12,12,13,13,12,13,13,11,16,93,205,7930,14,5344,10,16,10,73,19,15,24,38,37,39,4780,14,12,16,504,3,3,4,9859,23,4257:1,12,56580,50478,62682,49,34,30,4,2,6,45,16,12,22,55347,24.7,14.3,10493,19.0,267,0.5,664,1.2,55,0.1,1573,2.8,41459,74.9,338,0.7,0.3,1.0,51.5,22921,42.0
01003,Alabama,Baldwin,2740,361,347,376,84,48,38,59,96,6,5,8,12,11,12,12,12,13,10,9,12,278,169,26200,14,9952,5,103,17,205,15,13,17,33,32,34,23889,20,18,22,2254,5,4,6,9413,37,2680:1,16,52387,49382,55392,42,43,32,3,2,4,153,16,13,18,203709,22.0,19.2,19088,9.4,1505,0.7,1907,0.9,123,0.1,9268,4.5,168996,83.0,2159,1.2,0.7,1.6,51.3,77060,42.3
01005,Alabama,Barbour,425,440,397,483,15,66,37,109,27,12,8,17,16,15,16,15,15,15,18,15,23,91,400,6330,23,3136,11,,,36,19,13,26,40,39,40,2701,20,17,22,264,4,3,6,10117,26,3784:1,30,31433,28084,34782,67,25,21,7,4,12,18,13,8,21,26489,21.3,17.2,12529,47.3,153,0.6,118,0.4,49,0.2,1172,4.4,12340,46.6,447,1.8,0.9,2.6,46.6,18613,67.8
01007,Alabama,Bibb,396,521,469,573,20,105,64,162,21,12,7,18,13,13,14,13,13,14,15,12,18,23,120,3730,16,491,2,10,15,35,22,15,31,41,40,42,2150,17,15,19,191,4,3,5,10817,49,2053:1,25,40767,35850,45684,63,42,41,8,4,14,24,21,14,32,22583,20.8,15.0,4980,22.1,96,0.4,52,0.2,31,0.1,544,2.4,16724,74.1,76,0.4,0.0,1.0,46.1,15663,68.4
01009,Alabama,Blount,916,445,416,475,24,44,28,65,31,6,4,9,13,13,14,13,13,14,14,11,17,46,96,7030,12,609,1,36,21,84,21,17,26,36,35,37,7134,21,19,23,799,6,4,7,10036,9,11535:1,13,50487,46139,54835,53,50,32,6,4,9,51,18,13,23,57673,23.2,17.5,987,1.7,377,0.7,164,0.3,64,0.1,5164,9.0,50403,87.4,918,1.7,1.2,2.2,50.6,51562,90.0
01011,Alabama,Bullock,197,547,468,625,10,111,53,205,,,,,16,15,16,15,14,15,20,14,25,32,362,2610,24,2199,20,,,35,47,33,65,44,43,45,1222,23,20,26,107,4,3,6,9276,65,1528:1,,28251,24779,31723,64,28,26,,,,,,,,10696,20.7,15.3,7373,68.9,90,0.8,25,0.2,75,0.7,805,7.5,2386,22.3,306,3.1,0.0,6.6,45.2,5607,51.4
01013,Alabama,Butler,394,560,502,618,19,100,60,157,,,,,16,16,16,16,15,16,18,14,22,42,250,4630,23,593,3,,,29,20,14,29,41,40,42,2217,19,16,21,187,4,3,5,10408,50,2015:1,23,33868,30612,37124,71,35,34,13,8,21,27,27,18,39,20154,23.5,18.4,8863,44.0,71,0.4,200,1.0,10,0.0,236,1.2,10639,52.8,93,0.5,0.0,1.1,53.5,14921,71.2
01015,Alabama,Calhoun,2231,550,527,574,73,70,55,88,79,8,6,10,14,14,15,14,14,14,15,13,17,194,198,21340,18,11909,10,46,13,127,15,13,18,39,38,40,12729,18,16,20,904,3,3,4,10673,42,2360:1,20,42091,39538,44644,61,50,45,9,7,12,123,21,17,25,115620,22.1,16.3,24126,20.9,611,0.5,1024,0.9,109,0.1,4179,3.6,83958,72.6,884,0.8,0.5,1.1,51.8,39955,33.7
01017,Alabama,Chambers,693,533,491,574,13,44,24,76,26,9,6,13,15,14,15,15,14,15,16,13,20,106,367,7200,21,3018,9,,,47,20,15,26,40,39,40,3887,19,16,21,265,4,3,4,8623,12,8531:1,26,35560,31692,39428,73,31,30,9,5,13,37,22,15,30,34123,21.3,18.7,13456,39.4,92,0.3,324,0.9,20,0.1,691,2.0,19239,56.4,77,0.2,0.0,0.6,52.1,16816,49.1
