FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
01001,Alabama,Autauga,809,456,425,488,29,50,34,73,33,7,5,10,13,13,13,13,13,13,11,11,11,93,205,7620,14,5344,10,13,8,8.1-10.0,75,20,16,25,38,37,39,5852,17,15,20,563,4,3,5,10166,18,5540:1,20,5036:1,54366,50255,58477,37,33,29,5,3,8,55395,25.2,13.8,10245,18.5,275,0.5,603,1.1,56,0.1,1514,2.7,41877,75.6,249,0.5,0.2,0.8,51.4,22921,42.0
01003,Alabama,Baldwin,2506,356,342,371,88,51,41,63,91,6,5,7,12,12,13,13,13,13,11,10,11,279,174,25720,14,9952,5,94,16,18.1-20.0,204,16,14,18,33,32,34,25253,22,20,24,2586,6,4,7,9490,34,2943:1,34,2943:1,49626,45920,53332,36,47,35,4,3,5,200111,22.2,18.7,18802,9.4,1488,0.7,1817,0.9,128,0.1,9130,4.6,166093,83.0,2571,1.4,1.0,1.9,51.2,77060,42.3
01005,Alabama,Barbour,410,431,388,473,14,60,33,100,31,13,9,18,15,15,16,15,15,15,15,15,16,92,399,6090,22,3136,11,,,4.1-6.0,35,18,13,25,40,39,40,3127,23,20,25,306,5,3,7,10077,19,5377:1,19,5377:1,34971,31997,37945,,31,26,5,2,8,26887,21.2,16.5,12689,47.2,159,0.6,132,0.5,47,0.2,1219,4.5,12525,46.6,549,2.2,0.9,3.4,46.6,18613,67.8
01007,Alabama,Bibb,414,542,489,595,22,111,69,168,25,14,9,21,15,14,15,14,14,15,13,12,13,24,125,3690,16,491,2,10,15,14.1-16.0,38,24,17,33,41,40,42,2388,19,17,22,209,4,3,6,10674,27,3751:1,27,3751:1,39546,35731,43361,55,41,40,7,4,13,22506,21.0,14.8,4931,21.9,95,0.4,50,0.2,29,0.1,474,2.1,16772,74.5,112,0.5,0.0,1.1,45.9,15663,68.4
01009,Alabama,Blount,876,430,401,460,29,52,35,75,30,6,4,9,14,14,14,14,14,14,12,11,12,45,94,6960,12,609,1,42,24,14.1-16.0,99,25,20,30,36,35,37,7693,22,20,25,864,6,4,8,10093,9,11544:1,9,11544:1,45567,41180,49954,45,62,34,3,2,6,57719,23.6,17.0,945,1.6,363,0.6,168,0.3,66,0.1,5042,8.7,50652,87.8,954,1.8,1.3,2.3,50.5,51562,90.0
01011,Alabama,Bullock,167,469,397,542,14,152,83,255,,,,,17,17,17,16,15,16,17,17,18,33,368,2550,24,2199,20,,,6.1-8.0,36,48,33,66,44,43,45,1281,24,21,27,115,5,3,7,9294,56,1794:1,65,1538:1,26580,23172,29988,,16,15,,,,10764,21.4,14.9,7440,69.1,90,0.8,27,0.3,79,0.7,803,7.5,2381,22.1,257,2.6,0.0,5.6,45.3,5607,51.4
01013,Alabama,Butler,378,538,482,594,10,52,25,95,,,,,17,17,18,16,16,17,16,16,17,41,242,4610,22,593,3,,,8.1-10.0,28,19,13,28,41,40,42,2397,20,17,23,200,4,3,6,10754,39,2537:1,44,2255:1,32512,28887,36137,71,34,33,10,6,17,20296,23.6,18.0,8868,43.7,75,0.4,192,0.9,9,0.0,243,1.2,10777,53.1,82,0.4,0.0,1.0,53.6,14921,71.2
01015,Alabama,Calhoun,2081,521,498,544,67,63,49,80,81,8,6,10,15,15,15,15,15,15,13,12,13,199,202,20900,18,11909,10,33,9,10.1-12.0,143,17,15,20,39,38,40,14418,20,18,23,1049,4,3,5,11041,35,2827:1,38,2634:1,41123,38748,43498,54,51,47,11,9,13,115916,22.2,16.0,24104,20.8,602,0.5,1018,0.9,112,0.1,4090,3.5,84450,72.9,915,0.8,0.6,1.1,51.8,39955,33.7
01017,Alabama,Chambers,697,568,524,612,14,47,26,78,26,9,6,14,16,16,17,16,15,16,15,15,16,105,364,7000,21,3018,9,,,10.1-12.0,61,25,19,33,40,39,40,4421,21,19,24,290,4,2,5,8961,9,11359:1,9,11359:1,34116,30578,37654,66,29,28,10,6,15,34076,21.4,18.3,13360,39.2,86,0.3,265,0.8,20,0.1,673,2.0,19370,56.8,67,0.2,0.0,0.6,52.3,16816,49.1
01019,Alabama,Cherokee,537,528,480,576,14,64,35,107,,,,,14,14,14,14,14,15,13,12,13,29,130,3940,15,34,0,15,19,14.1-16.0,47,26,19,35,34,33,35,3155,20,18,23,289,5,3,7,10079,12,8679:1,23,4340:1,38013,33968,42058,55,23,14,,,,26037,20.4,20.9,1204,4.6,141,0.5,69,0.3,7,0.0,393,1.5,23854,91.6,25,0.1,0.0,0.5,50.2,22282,85.7
